dacs,△Gooh,△Go,△Goh,Z_A,Z_B,r_A,r_B,R_A,R_B,N_A,N_B,EP_A,EP_B,EA_A,EA_B,IE_A,IE_B
NiW,4.362202056,4.093065342,1.111865278,28,74,124,139,184,210,10,6,1.91,1.7,1.157368,0.8165,7.6399,7.864
NiRe,4.24703637,4.087501738,1.358032282,28,75,124,137,184,217,10,7,1.91,1.9,1.157368,0.060396,7.6399,7.8335
NiOs,4.378309768,4.232274141,1.666280883,28,76,124,135,184,216,10,8,1.91,2.2,1.157368,1.077661,7.6399,8.4382
NiIr,4.549010356,3.774993719,1.747803768,28,77,124,135.5,184,202,10,9,1.91,2.2,1.157368,1.564057,7.6399,8.967
NiPt,4.28327376,3.834562411,1.637039851,28,78,124,138.5,184,209,10,10,1.91,2.2,1.157368,2.1251,7.6399,8.9588
NiAu,4.137688855,3.365075147,1.308825742,28,79,124,144,184,217,10,11,1.91,2.4,1.157368,2.30861,7.6399,9.2255
NiBi,-3.688555074,2.60931009,-2.015461039,28,83,124,154.7,184,243,10,15,1.91,1.9,1.157368,0.942362,7.6399,7.2855
CuTi,-3.484907543,2.450329667,0.232503945,29,22,128,147,186,187,11,4,1.9,1.54,1.23578,0.07554,7.7264,6.8281
CuV,1.709935405,3.280237892,1.025076561,29,23,128,134,186,179,11,5,1.9,1.63,1.23578,0.52766,7.7264,6.7462
CuCr,4.520735106,3.231879013,1.270159955,29,24,128,128,186,189,11,6,1.9,1.66,1.23578,0.675928,7.7264,6.7665
CuMn,4.536493484,3.390637907,1.334708043,29,25,128,127,186,197,11,7,1.9,1.55,1.23578,-0.5,7.7264,7.434
CuFe,4.552938666,3.662465926,1.558258848,29,26,128,126,186,194,11,8,1.9,1.83,1.23578,0.153236,7.7264,7.9024
CuCo,4.57814645,3.460433918,1.495045898,29,27,128,125,186,192,11,9,1.9,1.88,1.23578,0.662255,7.7264,7.881
CuNi,4.54206119,3.128861152,1.258322923,29,28,128,124,186,184,11,10,1.9,1.91,1.23578,1.157368,7.7264,7.6399
CuCu,4.540447165,3.051648467,1.399804574,29,29,128,128,186,186,11,11,1.9,1.9,1.23578,1.23578,7.7264,7.7264
CuZn,4.486909764,3.017029212,1.370778244,29,30,128,134,186,210,11,12,1.9,1.65,1.23578,-0.6,7.7264,9.3942
CuZr,-4.035009878,2.193950752,-0.940259159,29,40,128,160,186,186,11,4,1.9,1.33,1.23578,0.433283,7.7264,6.6339
CuNb,-3.919525053,2.375354467,0.064127979,29,41,128,146,186,207,11,5,1.9,1.6,1.23578,0.9174,7.7264,6.7589
CuMo,4.390983778,2.682138644,0.860469367,29,42,128,139,186,209,11,6,1.9,2.16,1.23578,0.74723,7.7264,7.0924
CuTc,4.37874881,2.808558555,0.98818927,29,43,128,136,186,209,11,7,1.9,2.1,1.23578,0.636,7.7264,7.28
CuRu,4.510022208,3.099788872,1.368574209,29,44,128,134,186,207,11,8,1.9,2.2,1.23578,1.04627,7.7264,7.3605
CuRh,4.588767393,3.166502388,1.297465748,29,45,128,134,186,195,11,9,1.9,2.28,1.23578,1.14289,7.7264,7.4589
CuPd,4.40023142,2.947573926,1.26500117,29,46,128,137,186,202,11,10,1.9,2.2,1.23578,0.56214,7.7264,8.3369
CuAg,4.328791335,2.637245112,1.077706458,29,47,128,144,186,203,11,11,1.9,1.93,1.23578,1.30447,7.7264,7.5762
CuCd,-3.119252793,2.405804551,0.277116852,29,48,128,148.9,186,230,11,12,1.9,1.69,1.23578,-0.7,7.7264,8.9938
CuIn,-4.246326959,1.945906946,-1.732156551,29,49,128,167,186,236,11,13,1.9,1.78,1.23578,0.38392,7.7264,5.7864
CuSn,-3.67200832,1.744645152,-2.375735789,29,50,128,151,186,233,11,14,1.9,1.96,1.23578,1.11207,7.7264,7.3439
CuW,4.362202056,2.766191907,0.751590528,29,74,128,139,186,210,11,6,1.9,1.7,1.23578,0.8165,7.7264,7.864
CuRe,4.24703637,3.04619651,0.997757531,29,75,128,137,186,217,11,7,1.9,1.9,1.23578,0.060396,7.7264,7.8335
CuOs,4.378309768,3.154442339,1.306006132,29,76,128,135,186,216,11,8,1.9,2.2,1.23578,1.077661,7.7264,8.4382
CuIr,4.549010356,3.108501015,1.387529017,29,77,128,135.5,186,202,11,9,1.9,2.2,1.23578,1.564057,7.7264,8.967
CuPt,4.28327376,2.882829888,1.276765101,29,78,128,138.5,186,209,11,10,1.9,2.2,1.23578,2.1251,7.7264,8.9588
CuAu,4.137688855,2.578135063,0.948550992,29,79,128,144,186,217,11,11,1.9,2.4,1.23578,2.30861,7.7264,9.2255
CuBi,-3.688555074,1.697125767,-2.375735789,29,83,128,154.7,186,243,11,15,1.9,1.9,1.23578,0.942362,7.7264,7.2855
ZnTi,-3.74213231,2.122422029,-0.798683422,30,22,134,147,210,187,12,4,1.65,1.54,-0.6,0.07554,9.3942,6.8281
ZnV,0.88562526,2.606776179,-0.006110806,30,23,134,134,210,179,12,5,1.65,1.63,-0.6,0.52766,9.3942,6.7462
ZnCr,3.443040763,2.684555682,0.238972588,30,24,134,128,210,189,12,6,1.65,1.66,-0.6,0.675928,9.3942,6.7665
ZnMn,3.443040763,2.879181679,0.303520675,30,25,134,127,210,197,12,7,1.65,1.55,-0.6,-0.5,9.3942,7.434
ZnFe,3.5305365,3.01185287,0.527071481,30,26,134,126,210,194,12,8,1.65,1.83,-0.6,0.153236,9.3942,7.9024
ZnCo,3.555744285,2.885448824,0.463858531,30,27,134,125,210,192,12,9,1.65,1.88,-0.6,0.662255,9.3942,7.881
ZnNi,3.603046724,2.671452579,0.227135555,30,28,134,124,210,184,12,10,1.65,1.91,-0.6,1.157368,9.3942,7.6399
ZnCu,3.657473872,2.623743909,0.368617206,30,29,134,128,210,186,12,11,1.65,1.9,-0.6,1.23578,9.3942,7.7264
ZnZn,3.67367434,2.897625914,0.339590877,30,30,134,134,210,210,12,12,1.65,1.65,-0.6,-0.6,9.3942,9.3942
ZnZr,-3.900390314,1.873696786,-1.971446527,30,40,134,160,210,186,12,4,1.65,1.33,-0.6,0.433283,9.3942,6.6339
ZnNb,-3.900050743,2.286227914,-0.967059388,30,41,134,146,210,207,12,5,1.65,1.6,-0.6,0.9174,9.3942,6.7589
ZnMo,3.417284885,2.409960318,-0.170718001,30,42,134,139,210,209,12,6,1.65,2.16,-0.6,0.74723,9.3942,7.0924
ZnTc,3.417284885,2.490486338,-0.042998097,30,43,134,136,210,209,12,7,1.65,2.1,-0.6,0.636,9.3942,7.28
ZnRu,3.52545912,2.631224987,0.337386842,30,44,134,134,210,207,12,8,1.65,2.2,-0.6,1.04627,9.3942,7.3605
ZnRh,3.558727994,2.645677315,0.26627838,30,45,134,134,210,195,12,9,1.65,2.28,-0.6,1.14289,9.3942,7.4589
ZnPd,3.572856941,2.753176992,0.233813803,30,46,134,137,210,202,12,10,1.65,2.2,-0.6,0.56214,9.3942,8.3369
ZnAg,3.492970099,2.736956082,0.046519091,30,47,134,144,210,203,12,11,1.65,1.93,-0.6,1.30447,9.3942,7.5762
ZnCd,-3.368442991,2.07479736,-0.754070516,30,48,134,148.9,210,230,12,12,1.65,1.69,-0.6,-0.7,9.3942,8.9938
ZnIn,-4.362752915,1.609568049,-2.763343918,30,49,134,167,210,236,12,13,1.65,1.78,-0.6,0.38392,9.3942,5.7864
ZnSn,-3.905261992,1.499684399,-3.406923157,30,50,134,151,210,233,12,14,1.65,1.96,-0.6,1.11207,9.3942,7.3439
ZnW,3.424999688,2.347823648,-0.27959684,30,74,134,139,210,210,12,6,1.65,1.7,-0.6,0.8165,9.3942,7.864
ZnRe,3.004427497,2.220756518,-0.033429836,30,75,134,137,210,217,12,7,1.65,1.9,-0.6,0.060396,9.3942,7.8335
ZnOs,3.112601732,2.088809232,0.274818765,30,76,134,135,210,216,12,8,1.65,2.2,-0.6,1.077661,9.3942,8.4382
ZnIr,3.592660516,2.512302577,0.35634165,30,77,134,135.5,210,202,12,9,1.65,2.2,-0.6,1.564057,9.3942,8.967
ZnPt,3.551846686,2.647714723,0.245577733,30,78,134,138.5,210,209,12,10,1.65,2.2,-0.6,2.1251,9.3942,8.9588
ZnAu,3.133141751,1.994024409,-0.082636376,30,79,134,144,210,217,12,11,1.65,2.4,-0.6,2.30861,9.3942,9.2255
ZnBi,-3.921808746,1.347876161,-3.406923157,30,83,134,154.7,210,243,12,15,1.65,1.9,-0.6,0.942362,9.3942,7.2855
ZrTi,-5.516969263,-4.882875786,-4.584909174,40,22,160,147,186,187,4,4,1.33,1.54,0.433283,0.07554,6.6339,6.8281
ZrV,-2.325034188,-2.920664899,-3.792336558,40,23,160,134,186,179,4,5,1.33,1.63,0.433283,0.52766,6.6339,6.7462
ZrCr,-0.309725695,-2.422415753,-3.547253163,40,24,160,128,186,189,4,6,1.33,1.66,0.433283,0.675928,6.6339,6.7665
ZrMn,-0.298165846,-2.250480902,-3.482705076,40,25,160,127,186,197,4,7,1.33,1.55,0.433283,-0.5,6.6339,7.434
ZrFe,-0.267504515,-1.902400119,-3.25915427,40,26,160,126,186,194,4,8,1.33,1.83,0.433283,0.153236,6.6339,7.9024
ZrCo,-0.236420903,-2.054085042,-3.322367221,40,27,160,125,186,192,4,9,1.33,1.88,0.433283,0.662255,6.6339,7.881
ZrNi,-0.663877449,-3.102695507,-3.559090196,40,28,160,124,186,184,4,10,1.33,1.91,0.433283,1.157368,6.6339,7.6399
ZrCu,-0.652385415,-2.980374031,-3.417608545,40,29,160,128,186,186,4,11,1.33,1.9,0.433283,1.23578,6.6339,7.7264
ZrZn,-0.287556988,-1.875354984,-3.446634875,40,30,160,134,186,210,4,12,1.33,1.65,0.433283,-0.6,6.6339,9.3942
ZrZr,-7.649555722,-6.56323627,-5.757672278,40,40,160,160,186,186,4,4,1.33,1.33,0.433283,0.433283,6.6339,6.6339
ZrNb,-7.389014659,-4.381398904,-4.75328514,40,41,160,146,186,207,4,5,1.33,1.6,0.433283,0.9174,6.6339,6.7589
ZrMo,0.163718658,-2.99431243,-3.956943752,40,42,160,139,186,209,4,6,1.33,2.16,0.433283,0.74723,6.6339,7.0924
ZrTc,-0.160658254,-2.594502765,-3.829223849,40,43,160,136,186,209,4,7,1.33,2.1,0.433283,0.636,6.6339,7.28
ZrRu,0.056569627,-1.953629655,-3.448838909,40,44,160,134,186,207,4,8,1.33,2.2,0.433283,1.04627,6.6339,7.3605
ZrRh,0.050394715,-1.979264801,-3.519947371,40,45,160,134,186,195,4,9,1.33,2.28,0.433283,1.14289,6.6339,7.4589
ZrPd,-0.015623576,-1.586720749,-3.552411949,40,46,160,137,186,202,4,10,1.33,2.2,0.433283,0.56214,6.6339,8.3369
ZrAg,-0.276470542,-3.276763289,-3.739706661,40,47,160,144,186,203,4,11,1.33,1.93,0.433283,1.30447,6.6339,7.5762
ZrCd,-4.389910579,-3.755464463,-4.540296267,40,48,160,148.9,186,230,4,12,1.33,1.69,0.433283,-0.7,6.6339,8.9938
ZrIn,-6.614284687,-5.78273853,-6.54956967,40,49,160,167,186,236,4,13,1.33,1.78,0.433283,0.38392,6.6339,5.7864
ZrSn,-5.643919941,-5.940127738,-7.193148908,40,50,160,151,186,233,4,14,1.33,1.96,0.433283,1.11207,6.6339,7.3439
ZrW,-0.086151761,-2.949866311,-4.065822591,40,74,160,139,186,210,4,6,1.33,1.7,0.433283,0.8165,6.6339,7.864
ZrRe,-0.074591912,-2.309495073,-3.819655588,40,75,160,137,186,217,4,7,1.33,1.9,0.433283,0.060396,6.6339,7.8335
ZrOs,0.131076119,-1.593220179,-3.511406987,40,76,160,135,186,216,4,8,1.33,2.2,0.433283,1.077661,6.6339,8.4382
ZrIr,0.151118927,-1.590976976,-3.429884102,40,77,160,135.5,186,202,4,9,1.33,2.2,0.433283,1.564057,6.6339,8.967
ZrPt,0.135334191,-1.984173426,-3.540648018,40,78,160,138.5,186,209,4,10,1.33,2.2,0.433283,2.1251,6.6339,8.9588
ZrAu,0.15653517,-2.76081009,-3.868862127,40,79,160,144,186,217,4,11,1.33,2.4,0.433283,2.30861,6.6339,9.2255
ZrBi,-5.569413449,-5.938143871,-7.193148908,40,83,160,154.7,186,243,4,15,1.33,1.9,0.433283,0.942362,6.6339,7.2855
NbTi,-4.395521128,-4.449845923,-3.847822293,41,22,146,147,207,187,5,4,1.6,1.54,0.9174,0.07554,6.7589,6.8281
NbV,-2.471067265,-2.455232254,-3.055249677,41,23,146,134,207,179,5,5,1.6,1.63,0.9174,0.52766,6.7589,6.7462
NbCr,-0.419792271,-2.195231724,-2.810166283,41,24,146,128,207,189,5,6,1.6,1.66,0.9174,0.675928,6.7589,6.7665
NbMn,-0.392474044,-2.146288794,-2.745618196,41,25,146,127,207,197,5,7,1.6,1.55,0.9174,-0.5,6.7589,7.434
NbFe,-0.466320294,-1.968123617,-2.52206739,41,26,146,126,207,194,5,8,1.6,1.83,0.9174,0.153236,6.7589,7.9024
NbCo,-0.477880144,-2.046638309,-2.58528034,41,27,146,125,207,192,5,9,1.6,1.88,0.9174,0.662255,6.7589,7.881
NbNi,-0.939809234,-2.863176315,-2.822003315,41,28,146,124,207,184,5,10,1.6,1.91,0.9174,1.157368,6.7589,7.6399
NbCu,-0.926639792,-2.750484118,-2.680521664,41,29,146,128,207,186,5,11,1.6,1.9,0.9174,1.23578,6.7589,7.7264
NbZn,-0.638449975,-2.252198257,-2.709547994,41,30,146,134,207,210,5,12,1.6,1.65,0.9174,-0.6,6.7589,9.3942
NbZr,-5.108169147,-5.112793359,-5.020585398,41,40,146,160,207,186,5,4,1.6,1.33,0.9174,0.433283,6.7589,6.6339
NbNb,-4.790000932,-3.933381852,-4.016198259,41,41,146,146,207,207,5,5,1.6,1.6,0.9174,0.9174,6.7589,6.7589
NbMo,0.157783781,-2.88037913,-3.219856871,41,42,146,139,207,209,5,6,1.6,2.16,0.9174,0.74723,6.7589,7.0924
NbTc,-0.166593131,-2.454352929,-3.092136968,41,43,146,136,207,209,5,7,1.6,2.1,0.9174,0.636,6.7589,7.28
NbRu,-0.08000927,-1.928551006,-2.711752029,41,44,146,134,207,207,5,8,1.6,2.2,0.9174,1.04627,6.7589,7.3605
NbRh,-0.128827642,-1.974587632,-2.78286049,41,45,146,134,207,195,5,9,1.6,2.28,0.9174,1.14289,6.7589,7.4589
NbPd,-0.158564372,-1.947907363,-2.815325068,41,46,146,137,207,202,5,10,1.6,2.2,0.9174,0.56214,6.7589,8.3369
NbAg,-0.468839341,-3.316582724,-3.00261978,41,47,146,144,207,203,5,11,1.6,1.93,0.9174,1.30447,6.7589,7.5762
NbCd,-3.859332619,-3.948108203,-3.803209387,41,48,146,148.9,207,230,5,12,1.6,1.69,0.9174,-0.7,6.7589,8.9938
NbIn,-5.131914928,-4.846864053,-5.812482789,41,49,146,167,207,236,5,13,1.6,1.78,0.9174,0.38392,6.7589,5.7864
NbSn,-4.909137937,-4.914795516,-6.456062028,41,50,146,151,207,233,5,14,1.6,1.96,0.9174,1.11207,6.7589,7.3439
NbW,-0.092086639,-2.881396746,-3.328735711,41,74,146,139,207,210,5,6,1.6,1.7,0.9174,0.8165,6.7589,7.864
NbRe,-0.08052679,-2.282459065,-3.082568707,41,75,146,137,207,217,5,7,1.6,1.9,0.9174,0.060396,6.7589,7.8335
NbOs,-0.005502777,-1.750081457,-2.774320106,41,76,146,135,207,216,5,8,1.6,2.2,0.9174,1.077661,6.7589,8.4382
NbIr,-0.077531434,-1.768988532,-2.692797221,41,77,146,135.5,207,202,5,9,1.6,2.2,0.9174,1.564057,6.7589,8.967
NbPt,-0.057034608,-2.34636773,-2.803561138,41,78,146,138.5,207,209,5,10,1.6,2.2,0.9174,2.1251,6.7589,8.9588
NbAu,-0.116502541,-3.146091727,-3.131775247,41,79,146,144,207,217,5,11,1.6,2.4,0.9174,2.30861,6.7589,9.2255
NbBi,-4.834631445,-4.928041321,-6.456062028,41,83,146,154.7,207,243,5,15,1.6,1.9,0.9174,0.942362,6.7589,7.2855
MoTi,-4.707967501,-3.407196963,-2.068940798,42,22,139,147,209,187,6,4,2.16,1.54,0.74723,0.07554,7.0924,6.8281
MoV,-3.441850866,-1.743855216,-1.276368182,42,23,139,134,209,179,6,5,2.16,1.63,0.74723,0.52766,7.0924,6.7462
MoCr,-1.392808206,-1.450684136,-1.031284788,42,24,139,128,209,189,6,6,2.16,1.66,0.74723,0.675928,7.0924,6.7665
MoMn,-1.326535194,-1.366421203,-0.966736701,42,25,139,127,209,197,6,7,2.16,1.55,0.74723,-0.5,7.0924,7.434
MoFe,-1.180365066,-1.333627259,-0.743185895,42,26,139,126,209,194,6,8,2.16,1.83,0.74723,0.153236,7.0924,7.9024
MoCo,-1.191924915,-1.335923106,-0.806398845,42,27,139,125,209,192,6,9,2.16,1.88,0.74723,0.662255,7.0924,7.881
MoNi,-1.360430995,-1.98358685,-1.043121821,42,28,139,124,209,184,6,10,2.16,1.91,0.74723,1.157368,7.0924,7.6399
MoCu,-1.546342804,-1.868793899,-0.90164017,42,29,139,128,209,186,6,11,2.16,1.9,0.74723,1.23578,7.0924,7.7264
MoZn,-1.821626706,-1.885382419,-0.930666499,42,30,139,134,209,210,6,12,2.16,1.65,0.74723,-0.6,7.0924,9.3942
MoZr,-5.025391808,-3.576680812,-3.241703903,42,40,139,160,209,186,6,4,2.16,1.33,0.74723,0.433283,7.0924,6.6339
MoNb,-5.091677862,-2.79288799,-2.237316764,42,41,139,146,209,207,6,5,2.16,1.6,0.74723,0.9174,7.0924,6.7589
MoMo,-1.473325581,-2.081366632,-1.440975377,42,42,139,139,209,209,6,6,2.16,2.16,0.74723,0.74723,7.0924,7.0924
MoTc,-1.761348563,-1.65286554,-1.313255473,42,43,139,136,209,209,6,7,2.16,2.1,0.74723,0.636,7.0924,7.28
MoRu,-1.131844996,-1.068690428,-0.932870534,42,44,139,134,209,207,6,8,2.16,2.2,0.74723,1.04627,7.0924,7.3605
MoRh,-1.078307595,-1.121676971,-1.003978996,42,45,139,134,209,195,6,9,2.16,2.28,0.74723,1.14289,7.0924,7.4589
MoPd,-1.328510281,-1.21790998,-1.036443573,42,46,139,137,209,202,6,10,2.16,2.2,0.74723,0.56214,7.0924,8.3369
MoAg,-1.704787094,-2.351623848,-1.223738285,42,47,139,144,209,203,6,11,2.16,1.93,0.74723,1.30447,7.0924,7.5762
MoCd,-4.342129272,-3.125155851,-2.024327892,42,48,139,148.9,209,230,6,12,2.16,1.69,0.74723,-0.7,7.0924,8.9938
MoIn,-5.57868562,-3.497332935,-4.033601294,42,49,139,167,209,236,6,13,2.16,1.78,0.74723,0.38392,7.0924,5.7864
MoSn,-5.444579548,-3.475971377,-4.677180533,42,50,139,151,209,233,6,14,2.16,1.96,0.74723,1.11207,7.0924,7.3439
MoW,-1.761348563,-2.097280538,-1.549854216,42,74,139,139,209,210,6,6,2.16,1.7,0.74723,0.8165,7.0924,7.864
MoRe,-1.749788714,-1.576155407,-1.303687212,42,75,139,137,209,217,6,7,2.16,1.9,0.74723,0.060396,7.0924,7.8335
MoOs,-1.365151346,-0.923251881,-0.995438611,42,76,139,135,209,216,6,8,2.16,2.2,0.74723,1.077661,7.0924,8.4382
MoIr,-1.221896456,-0.967986917,-0.913915726,42,77,139,135.5,209,202,6,9,2.16,2.2,0.74723,1.564057,7.0924,8.967
MoPt,-1.757527711,-1.540157255,-1.024679643,42,78,139,138.5,209,209,6,10,2.16,2.2,0.74723,2.1251,7.0924,8.9588
MoAu,-1.826853178,-2.29893675,-1.352893752,42,79,139,144,209,217,6,11,2.16,2.4,0.74723,2.30861,7.0924,9.2255
MoBi,-5.564958126,-3.475972565,-4.677180533,42,83,139,154.7,209,243,6,15,2.16,1.9,0.74723,0.942362,7.0924,7.2855
TcTi,-4.499012071,-2.501805072,-1.277658376,43,22,136,147,209,187,7,4,2.1,1.54,0.636,0.07554,7.28,6.8281
TcV,-0.205845029,-0.646183636,-0.48508576,43,23,136,134,209,179,7,5,2.1,1.63,0.636,0.52766,7.28,6.7462
TcCr,2.810617792,-0.358403839,-0.240002366,43,24,136,128,209,189,7,6,2.1,1.66,0.636,0.675928,7.28,6.7665
TcMn,2.876890804,-0.124745183,-0.175454278,43,25,136,127,209,197,7,7,2.1,1.55,0.636,-0.5,7.28,7.434
TcFe,2.968671356,-0.047349982,0.048096527,43,26,136,126,209,194,7,8,2.1,1.83,0.636,0.153236,7.28,7.9024
TcCo,2.957111507,-0.09148222,-0.015116423,43,27,136,125,209,192,7,9,2.1,1.88,0.636,0.662255,7.28,7.881
TcNi,2.788605426,-0.637710819,-0.251839398,43,28,136,124,209,184,7,10,2.1,1.91,0.636,1.157368,7.28,7.6399
TcCu,2.657083194,-0.683919819,-0.110357747,43,29,136,128,209,186,7,11,2.1,1.9,0.636,1.23578,7.28,7.7264
TcZn,2.615105643,-0.717682998,-0.139384077,43,30,136,134,209,210,7,12,2.1,1.65,0.636,-0.6,7.28,9.3942
TcZr,-4.732475559,-2.624532134,-2.45042148,43,40,136,160,209,186,7,4,2.1,1.33,0.636,0.433283,7.28,6.6339
TcNb,-4.798761613,-1.847965014,-1.446034342,43,41,136,146,209,207,7,5,2.1,1.6,0.636,0.9174,7.28,6.7589
TcMo,2.687618753,-0.995380895,-0.649692954,43,42,136,139,209,209,7,6,2.1,2.16,0.636,0.74723,7.28,7.0924
TcTc,2.675383786,-0.512012535,-0.521973051,43,43,136,136,209,209,7,7,2.1,2.1,0.636,0.636,7.28,7.28
TcRu,2.795792988,-0.105046793,-0.141588112,43,44,136,134,209,207,7,8,2.1,2.2,0.636,1.04627,7.28,7.3605
TcRh,2.849330389,-0.202684993,-0.212696573,43,45,136,134,209,195,7,9,2.1,2.28,0.636,1.14289,7.28,7.4589
TcPd,2.599127703,-0.327754243,-0.245161151,43,46,136,137,209,202,7,10,2.1,2.2,0.636,0.56214,7.28,8.3369
TcAg,2.498638904,-1.209434802,-0.432455863,43,47,136,144,209,203,7,11,2.1,1.93,0.636,1.30447,7.28,7.5762
TcCd,-3.881180563,-2.107531603,-1.233045469,43,48,136,148.9,209,230,7,12,2.1,1.69,0.636,-0.7,7.28,8.9938
TcIn,-5.05246302,-2.446226764,-3.242318872,43,49,136,167,209,236,7,13,2.1,1.78,0.636,0.38392,7.28,5.7864
TcSn,-4.786817174,-2.485426899,-3.88589811,43,50,136,151,209,233,7,14,2.1,1.96,0.636,1.11207,7.28,7.3439
TcW,2.675383786,-0.945413859,-0.758571793,43,74,136,139,209,210,7,6,2.1,1.7,0.636,0.8165,7.28,7.864
TcRe,2.686943635,-0.37001478,-0.51240479,43,75,136,137,209,217,7,7,2.1,1.9,0.636,0.060396,7.28,7.8335
TcOs,2.795792988,-0.028776446,-0.204156189,43,76,136,135,209,216,7,8,2.1,2.2,0.636,1.077661,7.28,8.4382
TcIr,2.705741528,-0.075200809,-0.122633304,43,77,136,135.5,209,202,7,9,2.1,2.2,0.636,1.564057,7.28,8.967
TcPt,2.370727517,-0.684796193,-0.23339722,43,78,136,138.5,209,209,7,10,2.1,2.2,0.636,2.1251,7.28,8.9588
TcAu,2.30140205,-1.507944726,-0.561611329,43,79,136,144,209,217,7,11,2.1,2.4,0.636,2.30861,7.28,9.2255
TcBi,-4.907195751,-2.523434431,-3.88589811,43,83,136,154.7,209,243,7,15,2.1,1.9,0.636,0.942362,7.28,7.2855
RuTi,-3.742787426,0.549458842,-0.320505864,44,22,134,147,207,187,8,4,2.2,1.54,1.04627,0.07554,7.3605,6.8281
RuV,0.826810613,1.440717191,0.472066752,44,23,134,134,207,179,8,5,2.2,1.63,1.04627,0.52766,7.3605,6.7462
RuCr,3.902265883,1.593624212,0.717150146,44,24,134,128,207,189,8,6,2.2,1.66,1.04627,0.675928,7.3605,6.7665
RuMn,3.968538895,1.929301918,0.781698234,44,25,134,127,207,197,8,7,2.2,1.55,1.04627,-0.5,7.3605,7.434
RuFe,4.000429535,1.930740417,1.005249039,44,26,134,126,207,194,8,8,2.2,1.83,1.04627,0.153236,7.3605,7.9024
RuCo,3.988869685,1.880337947,0.942036089,44,27,134,125,207,192,8,9,2.2,1.88,1.04627,0.662255,7.3605,7.881
RuNi,3.862261757,1.315363855,0.705313114,44,28,134,124,207,184,8,10,2.2,1.91,1.04627,1.157368,7.3605,7.6399
RuCu,3.730739524,1.222930473,0.846794765,44,29,134,128,207,186,8,11,2.2,1.9,1.04627,1.23578,7.3605,7.7264
RuZn,3.688761973,0.898288103,0.817768435,44,30,134,134,207,210,8,12,2.2,1.65,1.04627,-0.6,7.3605,9.3942
RuZr,-4.156497474,0.337252885,-1.493268969,44,40,134,160,207,186,8,4,2.2,1.33,1.04627,0.433283,7.3605,6.6339
RuNb,-4.083940644,0.789594142,-0.48888183,44,41,134,146,207,207,8,5,2.2,1.6,1.04627,0.9174,7.3605,6.7589
RuMo,3.779266844,1.205602773,0.307459558,44,42,134,139,207,209,8,6,2.2,2.16,1.04627,0.74723,7.3605,7.0924
RuTc,3.767031876,1.27325234,0.435179461,44,43,134,136,207,209,8,7,2.2,2.1,1.04627,0.636,7.3605,7.28
RuRu,3.827551167,1.75110321,0.8155644,44,44,134,134,207,207,8,8,2.2,2.2,1.04627,1.04627,7.3605,7.3605
