dacs,Ef,Z_A,Z_B,r_A,r_B,R_A,R_B,N_A,N_B,EP_A,EP_B,EA_A,EA_B,IE_A,IE_B
AuPd,-41.591191,79,46,144.0,137.0,217,202,11,10,2.4,2.2,2.30861,0.56214,9.2255,8.3369
WNi,-50.82450701,74,28,139.0,124.0,210,184,6,10,1.7,1.91,0.8165,1.157368,7.864,7.6399
WTi,-51.71906926,74,22,139.0,147.0,210,187,6,4,1.7,1.54,0.8165,0.07554,7.864,6.8281
NiRh,-48.38491951,28,45,124.0,134.0,184,195,10,9,1.91,2.28,1.157368,1.14289,7.6399,7.4589
MnCu,-45.14972865,25,29,127.0,128.0,197,186,7,11,1.55,1.9,-0.5,1.23578,7.434,7.7264
WSn,-43.88752749,74,50,139.0,151.0,210,233,6,14,1.7,1.96,0.8165,1.11207,7.864,7.3439
PdAg,-40.46211584,46,47,137.0,144.0,202,203,10,11,2.2,1.93,0.56214,1.30447,8.3369,7.5762
AgCu,-40.22584943,47,29,144.0,128.0,203,186,11,11,1.93,1.9,1.30447,1.23578,7.5762,7.7264
RuAg,-43.02920714,44,47,134.0,144.0,207,203,8,11,2.2,1.93,1.04627,1.30447,7.3605,7.5762
SnZr,-42.85333599,50,40,151.0,160.0,233,186,14,4,1.96,1.33,1.11207,0.433283,7.3439,6.6339
CoCo,-49.39400346,27,27,125.0,125.0,192,192,9,9,1.88,1.88,0.662255,0.662255,7.881,7.881
VCd,-42.25667292,23,48,134.0,148.9,179,230,5,12,1.63,1.69,0.52766,-0.7,6.7462,8.9938
SnAu,-37.88001533,50,79,151.0,144.0,233,217,14,11,1.96,2.4,1.11207,2.30861,7.3439,9.2255
CuIr,-46.50692505,29,77,128.0,135.5,186,202,11,9,1.9,2.2,1.23578,1.564057,7.7264,8.967
RhFe,-49.27339486,45,26,134.0,126.0,195,194,9,8,2.28,1.83,1.14289,0.153236,7.4589,7.9024
AuAu,-39.31868354,79,79,144.0,144.0,217,217,11,11,2.4,2.4,2.30861,2.30861,9.2255,9.2255
PdRh,-46.12429566,46,45,137.0,134.0,202,195,10,9,2.2,2.28,0.56214,1.14289,8.3369,7.4589
OsPd,-47.96696116,76,46,135.0,137.0,216,202,8,10,2.2,2.2,1.077661,0.56214,8.4382,8.3369
TiIr,-52.52701756,22,77,147.0,135.5,187,202,4,9,1.54,2.2,0.07554,1.564057,6.8281,8.967
CoPd,-46.49587096,27,46,125.0,137.0,192,202,9,10,1.88,2.2,0.662255,0.56214,7.881,8.3369
ZnAg,-38.32817207,30,47,134.0,144.0,210,203,12,11,1.65,1.93,-0.6,1.30447,9.3942,7.5762
RePt,-49.87541182,75,78,137.0,138.5,217,209,7,10,1.9,2.2,0.060396,2.1251,7.8335,8.9588
CuCu,-43.06968564,29,29,128.0,128.0,186,186,11,11,1.9,1.9,1.23578,1.23578,7.7264,7.7264
FeNi,-48.55886151,26,28,126.0,124.0,194,184,8,10,1.83,1.91,0.153236,1.157368,7.9024,7.6399
NbCu,-47.51734795,41,29,146.0,128.0,207,186,5,11,1.6,1.9,0.9174,1.23578,6.7589,7.7264
NbCd,-42.38379282,41,48,146.0,148.9,207,230,5,12,1.6,1.69,0.9174,-0.7,6.7589,8.9938
CuFe,-45.56360125,29,26,128.0,126.0,186,194,11,8,1.9,1.83,1.23578,0.153236,7.7264,7.9024
RhZn,-43.27829189,45,30,134.0,134.0,195,210,9,12,2.28,1.65,1.14289,-0.6,7.4589,9.3942
MoV,-50.09093306,42,23,139.0,134.0,209,179,6,5,2.16,1.63,0.74723,0.52766,7.0924,6.7462
RhPd,-46.12416566,45,46,134.0,137.0,195,202,9,10,2.28,2.2,1.14289,0.56214,7.4589,8.3369
WTc,-52.06613766,74,43,139.0,136.0,210,209,6,7,1.7,2.1,0.8165,0.636,7.864,7.28
FePt,-48.32307912,26,78,126.0,138.5,194,209,8,10,1.83,2.2,0.153236,2.1251,7.9024,8.9588
NbRe,-51.79616626,41,75,146.0,137.0,207,217,5,7,1.6,1.9,0.9174,0.060396,6.7589,7.8335
RhOs,-51.24451836,45,76,134.0,135.0,195,216,9,8,2.28,2.2,1.14289,1.077661,7.4589,8.4382
RuRu,-50.92503106,44,44,134.0,134.0,207,207,8,8,2.2,2.2,1.04627,1.04627,7.3605,7.3605
ZrTi,-49.94037776,40,22,160.0,147.0,186,187,4,4,1.33,1.54,0.433283,0.07554,6.6339,6.8281
CdZn,-35.69652315,48,30,148.9,134.0,230,210,12,12,1.69,1.65,-0.7,-0.6,8.9938,9.3942
AgCo,-43.02070834,47,27,144.0,125.0,203,192,11,9,1.93,1.88,1.30447,0.662255,7.5762,7.881
CrFe,-49.30068766,24,26,128.0,126.0,189,194,6,8,1.66,1.83,0.675928,0.153236,6.7665,7.9024
PtOs,-49.93898262,78,76,138.5,135.0,209,216,10,8,2.2,2.2,2.1251,1.077661,8.9588,8.4382
NiZn,-43.61883854,28,30,124.0,134.0,184,210,10,12,1.91,1.65,1.157368,-0.6,7.6399,9.3942
TcZr,-50.30129616,43,40,136.0,160.0,209,186,7,4,2.1,1.33,0.636,0.433283,7.28,6.6339
OsOs,-53.19454386,76,76,135.0,135.0,216,216,8,8,2.2,2.2,1.077661,1.077661,8.4382,8.4382
ReV,-51.63167636,75,23,137.0,134.0,217,179,7,5,1.9,1.63,0.060396,0.52766,7.8335,6.7462
SnFe,-42.36585199,50,26,151.0,126.0,233,194,14,8,1.96,1.83,1.11207,0.153236,7.3439,7.9024
FeMn,-48.33653426,26,25,126.0,127.0,194,197,8,7,1.83,1.55,0.153236,-0.5,7.9024,7.434
SnPd,-41.02256279,50,46,151.0,137.0,233,202,14,10,1.96,2.2,1.11207,0.56214,7.3439,8.3369
IrCr,-50.98743146,77,24,135.5,128.0,202,189,9,6,2.2,1.66,1.564057,0.675928,8.967,6.7665
PdAu,-41.591201,46,79,137.0,144.0,202,217,10,11,2.2,2.4,0.56214,2.30861,8.3369,9.2255
CrOs,-51.24193116,24,76,128.0,135.0,189,216,6,8,1.66,2.2,0.675928,1.077661,6.7665,8.4382
RuCr,-49.97167976,44,24,134.0,128.0,207,189,8,6,2.2,1.66,1.04627,0.675928,7.3605,6.7665
IrIr,-51.63890446,77,77,135.5,135.5,202,202,9,9,2.2,2.2,1.564057,1.564057,8.967,8.967
ZrSn,-42.85337599,40,50,160.0,151.0,186,233,4,14,1.33,1.96,0.433283,1.11207,6.6339,7.3439
ZrZr,-49.07180486,40,40,160.0,160.0,186,186,4,4,1.33,1.33,0.433283,0.433283,6.6339,6.6339
MnIr,-50.19946806,25,77,127.0,135.5,197,202,7,9,1.55,2.2,-0.5,1.564057,7.434,8.967
AuPt,-43.43690246,79,78,144.0,138.5,217,209,11,10,2.4,2.2,2.30861,2.1251,9.2255,8.9588
FeAg,-42.72798504,26,47,126.0,144.0,194,203,8,11,1.83,1.93,0.153236,1.30447,7.9024,7.5762
ZnZn,-38.55927092,30,30,134.0,134.0,210,210,12,12,1.65,1.65,-0.6,-0.6,9.3942,9.3942
CrRh,-49.71984566,24,45,128.0,134.0,189,195,6,9,1.66,2.28,0.675928,1.14289,6.7665,7.4589
CoAu,-44.2266935,27,79,125.0,144.0,192,217,9,11,1.88,2.4,0.662255,2.30861,7.881,9.2255
IrAu,-44.196184,77,79,135.5,144.0,202,217,9,11,2.2,2.4,1.564057,2.30861,8.967,9.2255
ZrTc,-50.30125616,40,43,160.0,136.0,186,209,4,7,1.33,2.1,0.433283,0.636,6.6339,7.28
PtCu,-45.18894351,78,29,138.5,128.0,209,186,10,11,2.2,1.9,2.1251,1.23578,8.9588,7.7264
CdMn,-39.91585352,48,25,148.9,127.0,230,197,12,7,1.69,1.55,-0.7,-0.5,8.9938,7.434
MnRu,-49.62191636,25,44,127.0,134.0,197,207,7,8,1.55,2.2,-0.5,1.04627,7.434,7.3605
ZnOs,-45.11619739,30,76,134.0,135.0,210,216,12,8,1.65,2.2,-0.6,1.077661,9.3942,8.4382
ReW,-52.45783506,75,74,137.0,139.0,217,210,7,6,1.9,1.7,0.060396,0.8165,7.8335,7.864
VCo,-50.82656696,23,27,134.0,125.0,179,192,5,9,1.63,1.88,0.52766,0.662255,6.7462,7.881
TcRh,-50.49878016,43,45,136.0,134.0,209,195,7,9,2.1,2.28,0.636,1.14289,7.28,7.4589
RuNi,-49.13575361,44,28,134.0,124.0,207,184,8,10,2.2,1.91,1.04627,1.157368,7.3605,7.6399
TcMn,-49.79384956,43,25,136.0,127.0,209,197,7,7,2.1,1.55,0.636,-0.5,7.28,7.434
MnAu,-43.5047676,25,79,127.0,144.0,197,217,7,11,1.55,2.4,-0.5,2.30861,7.434,9.2255
MoW,-51.26188176,42,74,139.0,139.0,209,210,6,6,2.16,1.7,0.74723,0.8165,7.0924,7.864
PdCo,-46.49594096,46,27,137.0,125.0,202,192,10,9,2.2,1.88,0.56214,0.662255,8.3369,7.881
MoNb,-50.16803296,42,41,139.0,146.0,209,207,6,5,2.16,1.6,0.74723,0.9174,7.0924,6.7589
PdIr,-47.18378146,46,77,137.0,135.5,202,202,10,9,2.2,2.2,0.56214,1.564057,8.3369,8.967
NiCo,-48.74463481,28,27,124.0,125.0,184,192,10,9,1.91,1.88,1.157368,0.662255,7.6399,7.881
TiNb,-50.74830046,22,41,147.0,146.0,187,207,4,5,1.54,1.6,0.07554,0.9174,6.8281,6.7589
VRe,-51.63167636,23,75,134.0,137.0,179,217,5,7,1.63,1.9,0.52766,0.060396,6.7462,7.8335
CuRu,-46.20678335,29,44,128.0,134.0,186,207,11,8,1.9,2.2,1.23578,1.04627,7.7264,7.3605
IrZn,-44.31665769,77,30,135.5,134.0,202,210,9,12,2.2,1.65,1.564057,-0.6,8.967,9.3942
AgPt,-42.3512173,47,78,144.0,138.5,203,209,11,10,1.93,2.2,1.30447,2.1251,7.5762,8.9588
MnCr,-48.41302506,25,24,127.0,128.0,197,189,7,6,1.55,1.66,-0.5,0.675928,7.434,6.7665
CoOs,-51.29210366,27,76,125.0,135.0,192,216,9,8,1.88,2.2,0.662255,1.077661,7.881,8.4382
IrRu,-51.33409276,77,44,135.5,134.0,202,207,9,8,2.2,2.2,1.564057,1.04627,8.967,7.3605
CoCr,-49.73793096,27,24,125.0,128.0,192,189,9,6,1.88,1.66,0.662255,0.675928,7.881,6.7665
NiIr,-49.40927531,28,77,124.0,135.5,184,202,10,9,1.91,2.2,1.157368,1.564057,7.6399,8.967
IrFe,-50.48584066,77,26,135.5,126.0,202,194,9,8,2.2,1.83,1.564057,0.153236,8.967,7.9024
RhPt,-48.12870712,45,78,134.0,138.5,195,209,9,10,2.28,2.2,1.14289,2.1251,7.4589,8.9588
NbMo,-50.16049296,41,42,146.0,139.0,207,209,5,6,1.6,2.16,0.9174,0.74723,6.7589,7.0924
OsCo,-51.29209366,76,27,135.0,125.0,216,192,8,9,2.2,1.88,1.077661,0.662255,8.4382,7.881
IrAg,-43.26215884,77,47,135.5,144.0,202,203,9,11,2.2,1.93,1.564057,1.30447,8.967,7.5762
TiCr,-49.87295456,22,24,147.0,128.0,187,189,4,6,1.54,1.66,0.07554,0.675928,6.8281,6.7665
RuIr,-51.33404276,44,77,134.0,135.5,207,202,8,9,2.2,2.2,1.04627,1.564057,7.3605,8.967
OsMn,-50.77831776,76,25,135.0,127.0,216,197,8,7,2.2,1.55,1.077661,-0.5,8.4382,7.434
